,Unnamed: 0,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,cluser,Inactive_year
0,0,347,6,Myrl Bechtelar MD,Mr,Male,1,Married,24,1993-12-08,,Active,,,,Staff,Permanant,Buddhist,Driver,1965.0,2,
1,1,348,33,Francis Mraz,Mr,Male,1,Married,24,1995-03-14,,Active,,,,Staff,Permanant,Buddhist,Driver,1973.0,2,
2,2,349,53,Mr Emmet Blick Jr,Mr,Male,1,Married,23,1988-01-27,2021-06-28,Inactive,2021-06-28,,,Staff,Permanant,Buddhist,Account Clerk,1974.0,0,2021.0
3,3,351,77,Mr Nelson Braun PhD,Ms,Female,4,Married,40,1999-10-01,2022-01-31,Inactive,2022-01-31,,,Staff,Permanant,Catholic,Purchasing Officer,1974.0,2,2022.0
4,4,352,88,Maximillian Hand,Mr,Male,1,Married,7,2001-01-26,,Active,,,,Staff,Permanant,Buddhist,Store Keeper,1980.0,2,
5,5,353,155,Zena Nicolas,Mr,Male,1,Married,22,2003-09-29,,Inactive,2020-08-31,,,Staff,Permanant,Buddhist,Technical Officer,1962.0,0,2020.0
6,6,354,181,Coralie Bernhard,Mr,Male,1,Married,22,2003-11-10,,Active,,945.0,,Staff,Permanant,Buddhist,Technical Officer,1969.0,2,
7,7,355,192,Josh Roob,Mr,Male,1,Married,126,2004-02-16,,Active,,,,Staff,Permanant,Buddhist,Project Coordinator ,1981.0,2,
8,8,356,283,Ernest Upton,Ms,Female,1,Single,23,2005-06-01,,Active,,,,Staff,Permanant,Buddhist,Account Clerk,1974.0,2,
9,9,359,529,Sydney Oberbrunner,Mr,Male,1,Married,41,2006-07-01,2022-01-31,Inactive,2022-01-31,,,Staff,Permanant,Buddhist,Electrician,1967.0,2,2022.0
