,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
0,347,6,Myrl Bechtelar MD,Mr,Male,1,Married,24,1993-12-08,,Active,,,,Staff,Permanant,Buddhist,Driver,1965.0
1,348,33,Francis Mraz,Mr,Male,1,Married,24,1995-03-14,,Active,,,,Staff,Permanant,Buddhist,Driver,1973.0
2,349,53,Mr Emmet Blick Jr,Mr,Male,1,Married,23,1988-01-27,2021-06-28,Inactive,2021-06-28,,,Staff,Permanant,Buddhist,Account Clerk,1974.0
3,351,77,Mr Nelson Braun PhD,Ms,Female,4,Married,40,1999-10-01,2022-01-31,Inactive,2022-01-31,,,Staff,Permanant,Catholic,Purchasing Officer,1974.0
4,352,88,Maximillian Hand,Mr,Male,1,Married,7,2001-01-26,,Active,,,,Staff,Permanant,Buddhist,Store Keeper,1980.0
5,353,155,Zena Nicolas,Mr,Male,1,Married,22,2003-09-29,,Inactive,2020-08-31,,,Staff,Permanant,Buddhist,Technical Officer,1962.0
6,354,181,Coralie Bernhard,Mr,Male,1,Married,22,2003-11-10,,Active,,945.0,,Staff,Permanant,Buddhist,Technical Officer,1969.0
7,355,192,Josh Roob,Mr,Male,1,Married,126,2004-02-16,,Active,,,,Staff,Permanant,Buddhist,Project Coordinator ,1981.0
8,356,283,Ernest Upton,Ms,Female,1,Single,23,2005-06-01,,Active,,,,Staff,Permanant,Buddhist,Account Clerk,1974.0
9,359,529,Sydney Oberbrunner,Mr,Male,1,Married,41,2006-07-01,2022-01-31,Inactive,2022-01-31,,,Staff,Permanant,Buddhist,Electrician,1967.0
10,360,573,Angeline Yundt,Mr,Male,1,Married,42,2006-08-29,2021-05-05,Inactive,2021-05-05,,,Management,Permanant,Buddhist,Transport Officer,1976.0
11,361,596,Prof Karlie Bauch III,Mr,Male,3,Single,7,2006-11-01,,Active,,,,Staff,Permanant,Hindu,Store Keeper,1986.0
12,363,691,Leonel Romaguera,Mr,Male,1,Married,24,2007-05-25,2021-05-23,Inactive,2021-05-23,,,Staff,Permanant,Buddhist,Driver,1975.0
13,365,759,Sidney Macejkovic,Mr,Male,1,Married,43,2007-11-12,,Inactive,2020-09-10,,,Staff,Permanant,Buddhist,Operator - JCB,1984.0
14,366,900,Prof Jerod Pfeffer,Mr,Male,1,Married,44,2008-11-15,,Inactive,2020-05-21,,,Staff,Permanant,Buddhist,Driver - Boom,1973.0
15,371,1084,Ignatius Volkman DDS,Ms,Female,1,Single,45,2010-08-02,2021-04-30,Inactive,2021-04-30,,,Management,Contarct Basis,Buddhist,Construction Manager,1963.0
16,372,1086,Doyle Hettinger,Mr,Male,1,Married,46,2010-08-05,,Inactive,2020-09-27,,,Staff,Contarct Basis,Buddhist,Operator - Crane,1981.0
17,373,1093,Izaiah Berge,Mr,Male,1,Married,35,2010-10-26,,Active,,,,Staff,Contarct Basis,Buddhist,Operator-Excavator,1990.0
18,376,1154,Prof Arden Jacobs III,Mr,Male,1,Married,7,2011-03-24,,Active,,,,Staff,Contarct Basis,Buddhist,Store Keeper,1961.0
19,377,1275,Shaylee Schroeder III,Mr,Male,5,Single,48,2011-11-03,,Active,,624.0,,Staff,Contarct Basis,Muslim,Draughtsman,1982.0
20,378,1290,Raymond Bogan,Mr,Male,1,Married,33,2011-11-21,,Inactive,2020-07-28,,,Staff,Contarct Basis,Buddhist,Site Engineer,1965.0
21,379,1329,Kayden Rice,Mr,Male,1,Single,27,2012-01-25,,Inactive,2020-06-30,,,Staff,Contarct Basis,Buddhist,Supervisor,1991.0
